# impl,threads,trial,N,seconds,mflops
benchmark-basic,1,1,1024,0.000887,2363.57
benchmark-basic,1,1,1024,0.000874,2399.45
benchmark-basic,1,1,2048,0.003567,2351.91
benchmark-basic,1,1,4096,0.014510,2312.53
benchmark-basic,1,1,8192,0.058186,2306.70
benchmark-basic,1,1,16384,0.233181,2302.38
benchmark-vectorized,1,1,1024,0.000279,7515.38
benchmark-vectorized,1,1,1024,0.000209,10050.96
benchmark-vectorized,1,1,2048,0.000987,8500.97
benchmark-vectorized,1,1,4096,0.004022,8343.25
benchmark-vectorized,1,1,8192,0.016825,7977.39
benchmark-vectorized,1,1,16384,0.068745,7809.61
benchmark-blas,1,1,1024,0.000295,7110.22
benchmark-blas,1,1,1024,0.000161,13043.61
benchmark-blas,1,1,2048,0.000535,15672.55
benchmark-blas,1,1,4096,0.004036,8313.92
benchmark-blas,1,1,8192,0.018772,7149.90
benchmark-blas,1,1,16384,0.071835,7473.62
benchmark-openmp,1,1,1024,0.000893,2349.54
benchmark-openmp,1,1,1024,0.000875,2398.10
benchmark-openmp,1,1,2048,0.003567,2351.42
benchmark-openmp,1,1,4096,0.014538,2308.08
benchmark-openmp,1,1,8192,0.058291,2302.55
benchmark-openmp,1,1,16384,0.233354,2300.68
benchmark-openmp,4,1,1024,0.000894,2344.70
benchmark-openmp,4,1,1024,0.000474,4422.65
benchmark-openmp,4,1,2048,0.001761,4762.48
benchmark-openmp,4,1,4096,0.004693,7150.35
benchmark-openmp,4,1,8192,0.015606,8600.56
benchmark-openmp,4,1,16384,0.060177,8921.47
benchmark-openmp,16,1,1024,0.002177,963.45
benchmark-openmp,16,1,1024,0.000465,4510.32
benchmark-openmp,16,1,2048,0.001671,5019.57
benchmark-openmp,16,1,4096,0.004391,7641.12
benchmark-openmp,16,1,8192,0.014370,9340.18
benchmark-openmp,16,1,16384,0.056098,9570.28
benchmark-openmp,64,1,1024,0.007739,270.97
benchmark-openmp,64,1,1024,0.000769,2725.93
benchmark-openmp,64,1,2048,0.001804,4649.98
benchmark-openmp,64,1,4096,0.004128,8129.33
benchmark-openmp,64,1,8192,0.014464,9279.69
benchmark-openmp,64,1,16384,0.057622,9317.19
